"Project","Build All","Ctrl+Alt+Shift+B","In Windows"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Navigate","Quick Outline","Ctrl+Alt+Shift+O","Editing Java Source"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Run/Debug","Step Return","F7","Debugging"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"File","Close","Ctrl+F4","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"SVN","Merge...","Ctrl+Alt+E","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal widget context"
"Run/Debug","New Rendering","Ctrl+Alt+Shift+N","In Memory View"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"File","New","Ctrl+Alt+Shift+N","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"File","Rename","F2","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Navigate","Open Declaration","F3","JavaScript View"
"Run/Debug","Step Over","F6","Debugging"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"File","Save All","Ctrl+Shift+S","In Windows"
"SVN","Synchronize with Repository","Ctrl+Alt+S","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Navigate","Backward History","Alt+Left","In Windows"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Navigate","Quick Outline","Ctrl+Alt+Shift+O","Editing in Structured Text Editors"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Quick JUnit","JUnit Plug-in テスト","Ctrl+-","Editing Text"
"Git","Commit...","Ctrl+#","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"SVN","Lock...","Ctrl+Alt+K","In Windows"
"Window","Activate Editor","F12","In Windows"
"Edit","Format Active Elements","Ctrl+Alt+Shift+I","Editing in Structured Text Editors"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"SVN","Update","Ctrl+Alt+U","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Window","Next Editor","Ctrl+F6","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"File","Close","Ctrl+Alt+Shift+W","In Windows"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"View","Zoom In","Ctrl+=","In Windows"
"Edit","Delete","Delete","In Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"File","Save","Ctrl+S","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
